City_ID,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,Amapa,1.0,-52.0,73.76,97,100,2.28,BR,2022-04-15 21:36:30
211,Aguililla,18.7333,-102.7333,92.05,25,100,2.04,MX,2022-04-15 21:36:30
212,Ketchikan,55.3422,-131.6461,46.87,36,0,9.22,US,2022-04-15 21:36:30
213,Rio Brilhante,-21.8019,-54.5464,67.93,78,0,7.0,BR,2022-04-15 21:36:31
214,Kirkwall,58.9848,-2.9587,46.45,93,100,14.97,GB,2022-04-15 21:36:31
215,Santander,43.4647,-3.8044,59.31,93,100,1.99,ES,2022-04-15 21:36:32
216,Grafton,42.207,-71.6856,66.61,20,0,14.97,US,2022-04-15 21:32:06
217,Itapetininga,-23.5917,-48.0531,57.29,73,0,11.03,BR,2022-04-15 21:36:32
218,Alofi,-19.0595,-169.9187,84.09,74,57,4.61,NU,2022-04-15 21:36:32
219,Mezen,65.8522,44.24,20.73,97,22,3.49,RU,2022-04-15 21:36:33
220,Khani,41.9563,42.9566,33.37,84,16,4.45,GE,2022-04-15 21:36:33
221,Sergeyevka,53.88,67.4158,56.23,57,100,9.17,KZ,2022-04-15 21:36:34
222,Hay River,60.8156,-115.7999,21.16,68,75,10.36,CA,2022-04-15 21:36:34
223,Phan Thiet,10.9333,108.1,78.87,88,71,4.0,VN,2022-04-15 21:36:34
224,Lorengau,-2.0226,147.2712,83.1,74,63,5.23,PG,2022-04-15 21:36:35
225,Pangnirtung,66.1451,-65.7125,-0.4,71,0,4.61,CA,2022-04-15 21:37:35
226,Liverpool,53.4106,-2.9779,54.61,83,0,2.3,GB,2022-04-15 21:35:42
227,Kayiry,46.9454,33.7059,46.31,84,56,9.01,UA,2022-04-15 21:37:36
228,Mnogovershinnyy,53.9353,139.9242,29.71,79,100,3.65,RU,2022-04-15 21:37:36
229,Gazanjyk,39.2446,55.5154,57.11,51,99,9.46,TM,2022-04-15 21:37:36
230,Beringovskiy,63.05,179.3167,30.79,97,100,21.94,RU,2022-04-15 21:37:37
231,Bogdanovich,56.7803,62.0494,41.43,90,5,10.85,RU,2022-04-15 21:37:37
232,Serpa,37.9458,-7.5975,66.16,65,62,5.59,PT,2022-04-15 21:35:37
233,Thompson,55.7435,-97.8558,24.96,39,100,13.8,CA,2022-04-15 21:35:24
234,Comodoro Rivadavia,-45.8667,-67.5,71.46,33,0,23.02,AR,2022-04-15 21:37:38
235,Marsh Harbour,26.5412,-77.0636,70.11,86,100,15.3,BS,2022-04-15 21:35:31
236,Kuusamo,65.9667,29.1833,30.24,69,0,6.91,FI,2022-04-15 21:37:38
237,Saint-Augustin,51.226,-58.6502,32.32,94,100,4.29,CA,2022-04-15 21:37:38
238,Chokurdakh,70.6333,147.9167,9.63,93,100,4.74,RU,2022-04-15 21:37:39
239,Harbour Breton,47.4833,-55.7983,38.89,74,13,7.87,CA,2022-04-15 21:37:39
240,Port Lincoln,-34.7333,135.8667,65.88,81,0,7.0,AU,2022-04-15 21:37:40
241,Richards Bay,-28.783,32.0377,68.63,88,100,18.25,ZA,2022-04-15 21:37:40
242,Marzuq,14.4,46.4667,69.1,36,1,6.26,YE,2022-04-15 21:37:40
243,Balsas,-7.5325,-46.0356,79.66,76,94,2.66,BR,2022-04-15 21:37:41
244,Nara,34.6851,135.8049,52.5,47,99,12.03,JP,2022-04-15 21:37:41
245,Ust-Karsk,52.7011,118.8077,27.84,50,9,3.13,RU,2022-04-15 21:37:41
246,Faya,18.3851,42.4509,66.31,38,91,5.57,SA,2022-04-15 21:37:42
247,Alihe,50.5667,123.7167,32.22,58,14,10.49,CN,2022-04-15 21:37:42
248,Bernardino De Campos,-23.0131,-49.4742,58.98,77,0,4.05,BR,2022-04-15 21:37:43
249,Soyo,-6.1349,12.3689,78.26,88,100,2.04,AO,2022-04-15 21:37:43
